Gene	TRS+DOM.A.4.15.1.B9	TRS+DOM.A.4.16.1.B10	TRS+DOM.A.5.12.1.C8	Min	Max	Median	Mean	Std
EIF4E2	863	145	67	67	863	145	358.333333333333	438.790762588883
EIF4E3	20	5	2	2	20	5	9	9.64365076099295
EIF4EBP1	781	127	56	56	781	127	321.333333333333	399.662774515382
EIF4EBP2	395	84	28	28	395	84	169	197.714440544943
EIF4EBP3	7	0	0	0	7	0	2.33333333333333	4.04145188432738
EIF4ENIF1	59	14	3	3	59	14	25.3333333333333	29.6704117486316
EIF4G1	211	60	10	10	211	60	93.6666666666667	104.643840398436
EIF4G2	1174	319	129	129	1174	319	540.666666666667	556.64920132282
EIF4G3	229	56	26	26	229	56	103.666666666667	109.573415267269
EIF4H	296	57	17	17	296	57	123.333333333333	150.865282067589
EIF5	1627	280	115	115	1627	280	674	829.435350102707
EIF5A	117	27	12	12	117	27	52	56.7890834580027
EIF5A2	250	43	13	13	250	43	102	129.046503245923
EIF5AL1	0	0	0	0	0	0	0	0
EIF5B	918	181	74	74	918	181	391	459.520402158598
EIF6	1163	187	64	64	1163	187	471.333333333333	602.149759888131
ELAC1	9	9	2	2	9	9	6.66666666666667	4.04145188432738
ELAC2	28	14	2	2	28	14	14.6666666666667	13.0128141972954
ELANE	0	0	0	0	0	0	0	0
ELAVL1	94	26	7	7	94	26	42.3333333333333	45.7420302712214
ELAVL2	0	0	0	0	0	0	0	0
ELF1	225	37	17	17	225	37	93	114.751906302248
ELF2	207	40	11	11	207	40	86	105.78752289377
ELF3	0	0	0	0	0	0	0	0
ELF4	22	5	2	2	22	5	9.66666666666667	10.785793124909
ELF5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ELFN2	0	0	0	0	0	0	0	0
ELK1	20	7	0	0	20	7	9	10.1488915650922
ELK3	27	8	1	1	27	8	12	13.4536240470737
ELK4	127	35	13	13	127	35	58.3333333333333	60.4758905129419
ELL	18	5	1	1	18	5	8	8.88819441731559
ELL2	150	34	11	11	150	34	65	74.5050333870135
ELL3	36	8	3	3	36	8	15.6666666666667	17.7857620959388
ELMO1	1	0	1	0	1	1	0.666666666666667	0.577350269189626
ELMO2	145	20	11	11	145	20	58.6666666666667	74.9021584023674
ELMO3	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ELMOD1	14	5	1	1	14	5	6.66666666666667	6.65832811847939
ELMOD2	210	33	10	10	210	33	84.3333333333333	109.436435127125
ELMOD3	26	5	3	3	26	5	11.3333333333333	12.7410099024109
ELMSAN1	167	20	17	17	167	20	68	85.7496355677387
ELN	171	38	10	10	171	38	73	86.0174400921116
ELOF1	323	52	23	23	323	52	132.666666666667	165.470037569747
ELOVL1	153	44	24	24	153	44	73.6666666666667	69.4286204193439
ELOVL2	16	1	2	1	16	2	6.33333333333333	8.38649708360608
ELOVL2-AS1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ELOVL3	5	1	1	1	5	1	2.33333333333333	2.3094010767585
ELOVL4	13	7	3	3	13	7	7.66666666666667	5.03322295684717
ELOVL5	837	131	51	51	837	131	339.666666666667	432.556740016074
ELOVL6	8	2	4	2	8	4	4.66666666666667	3.05505046330389
ELOVL7	4	0	0	0	4	0	1.33333333333333	2.3094010767585
ELP2	226	33	18	18	226	33	92.3333333333333	116.001436772711
ELP3	230	45	12	12	230	45	95.6666666666667	117.500354609394
ELP4	184	25	12	12	184	25	73.6666666666667	95.7722994050646
ELP5	197	34	15	15	197	34	82	100.044989879554
ELP6	188	28	13	13	188	28	76.3333333333333	96.9965635130097
ELTD1	182	37	18	18	182	37	79	89.7050723203543
EMB	18	4	0	0	18	4	7.33333333333333	9.45163125250522
EMBP1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EMC1	448	75	42	42	448	75	188.333333333333	225.482445732109
EMC10	77	21	10	10	77	21	36	35.9304884464434
EMC2	600	113	46	46	600	113	253	302.372287089938
EMC3	1273	197	48	48	1273	197	506	668.406313554862
EMC4	620	107	38	38	620	107	255	317.976414219671
EMC6	2	1	0	0	2	1	1	1
EMC7	606	130	46	46	606	130	260.666666666667	302.002207497451
EMC8	57	17	10	10	57	17	28	25.3574446662119
EMC9	37	7	5	5	37	7	16.3333333333333	17.925772879665
EMCN	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EMD	30	9	2	2	30	9	13.6666666666667	14.5716619962629
EME1	2	2	0	0	2	2	1.33333333333333	1.15470053837925
EMG1	407	68	29	29	407	68	168	207.896608918953
EMILIN1	120	32	9	9	120	32	53.6666666666667	58.5861189475232
EMILIN2	26	6	2	2	26	6	11.3333333333333	12.8582010146573
EML1	26	16	6	6	26	16	16	10
EML2	6	3	0	0	6	3	3	3
EML3	26	11	2	2	26	11	13	12.1243556529821
EML4	1190	245	124	124	1190	245	519.666666666667	583.669712537265
EML5	4	2	0	0	4	2	2	2
EML6	2	0	0	0	2	0	0.666666666666667	1.15470053837925
EMP1	259	56	27	27	259	56	114	126.40806936268
EMP2	457	87	20	20	457	87	188	235.357175373941
EMP3	580	122	38	38	580	122	246.666666666667	291.714472272689
EMR1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
EMR2	2	0	2	0	2	2	1.33333333333333	1.15470053837925
EMR4P	0	0	0	0	0	0	0	0
EMX2	2	1	0	0	2	1	1	1
EMX2OS	38	8	1	1	38	8	15.6666666666667	19.6553639837408
EN1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
EN2	2	0	0	0	2	0	0.666666666666667	1.15470053837925
ENAH	474	124	46	46	474	124	214.666666666667	227.950286977958
ENC1	125	42	13	13	125	42	60	58.1291665173345
ENDOD1	67	19	14	14	67	19	33.3333333333333	29.2631736715848
ENDOG	3	1	0	0	3	1	1.33333333333333	1.52752523165195
ENDOU	0	0	0	0	0	0	0	0
ENDOV	40	6	1	1	40	6	15.6666666666667	21.221058723196
ENG	452	91	32	32	452	91	191.666666666667	227.377073016022
ENGASE	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ENKD1	7	2	1	1	7	2	3.33333333333333	3.21455025366432
ENKUR	18	2	0	0	18	2	6.66666666666667	9.86576572463249
ENO1	14778	2477	859	859	14778	2477	6038	7612.17321137663
ENO1-AS1	7	0	1	0	7	1	2.66666666666667	3.78593889720018
ENO2	190	46	12	12	190	46	82.6666666666667	94.495149787348
ENO3	7	0	0	0	7	0	2.33333333333333	4.04145188432738
ENO4	4	1	0	0	4	1	1.66666666666667	2.08166599946613
ENOPH1	111	19	8	8	111	19	46	56.5597029695171
ENOSF1	40	15	4	4	40	15	19.6666666666667	18.4481254693623
ENOX1	9	1	1	1	9	1	3.66666666666667	4.61880215351701
ENOX2	54	10	5	5	54	10	23	26.9629375254255
ENPEP	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ENPP1	37	5	3	3	37	5	15	19.0787840283389
ENPP2	3	0	1	0	3	1	1.33333333333333	1.52752523165195
ENPP3	0	0	0	0	0	0	0	0
ENPP4	32	4	2	2	32	4	12.6666666666667	16.7729941672122
ENPP5	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ENPP6	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ENSA	408	84	39	39	408	84	177	201.313188837691
ENTHD2	5	0	0	0	5	0	1.66666666666667	2.88675134594813
ENTPD1	135	35	17	17	135	35	62.3333333333333	63.5714820759539
ENTPD1-AS1	64	19	3	3	64	19	28.6666666666667	31.6280466253187
ENTPD3	0	0	0	0	0	0	0	0
ENTPD3-AS1	48	16	8	8	48	16	24	21.1660104885167
ENTPD4	151	40	15	15	151	40	68.6666666666667	72.3901466591506
ENTPD5	29	0	0	0	29	0	9.66666666666667	16.7431578064991
ENTPD6	13	3	2	2	13	3	6	6.08276253029822
ENTPD7	57	11	6	6	57	11	24.6666666666667	28.1128677536343
ENY2	2098	329	128	128	2098	329	851.666666666667	1084.02506121092
EOGT	6	4	0	0	6	4	3.33333333333333	3.05505046330389
EOMES	0	0	0	0	0	0	0	0
EP300	87	31	12	12	87	31	43.3333333333333	38.9914520546918
EP400	144	27	12	12	144	27	61	72.2703258606186
EP400NL	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EPAS1	709	124	50	50	709	124	294.333333333333	361.012926823034
EPB41	189	34	14	14	189	34	79	95.7862203033401
EPB41L1	36	13	5	5	36	13	18	16.0934769394311
EPB41L2	703	124	55	55	703	124	294	355.880597953864
EPB41L3	6	2	2	2	6	2	3.33333333333333	2.3094010767585
EPB41L4A	11	2	0	0	11	2	4.33333333333333	5.85946527708232
EPB41L4A-AS1	70	11	3	3	70	11	28	36.592348927064
EPB41L4B	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EPB41L5	26	9	0	0	26	9	11.6666666666667	13.2035348802256
EPC1	234	40	18	18	234	40	97.3333333333333	118.866872312404
EPC2	31	9	3	3	31	9	14.3333333333333	14.742229591664
EPCAM	3	0	0	0	3	0	1	1.73205080756888
EPDR1	270	49	31	31	270	49	116.666666666667	133.095204020781
EPG5	45	9	3	3	45	9	19	22.7156333832011
EPGN	14	11	3	3	14	11	9.33333333333333	5.68624070307733
EPHA1	0	0	0	0	0	0	0	0
EPHA1-AS1	11	3	1	1	11	3	5	5.29150262212918
EPHA10	9	2	2	2	9	2	4.33333333333333	4.04145188432738
EPHA2	17	7	3	3	17	7	9	7.21110255092798
EPHA3	2	0	0	0	2	0	0.666666666666667	1.15470053837925
EPHA4	2	1	0	0	2	1	1	1
EPHA5	8	7	3	3	8	7	6	2.64575131106459
EPHA7	0	0	0	0	0	0	0	0
EPHA8	0	0	0	0	0	0	0	0
EPHB1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EPHB2	3	1	0	0	3	1	1.33333333333333	1.52752523165195
EPHB3	10	2	1	1	10	2	4.33333333333333	4.93288286231625
EPHB4	14	1	1	1	14	1	5.33333333333333	7.50555349946513
EPHB6	19	4	0	0	19	4	7.66666666666667	10.0166528008778
EPHX1	10	1	0	0	10	1	3.66666666666667	5.5075705472861
EPHX2	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EPHX3	0	0	0	0	0	0	0	0
EPHX4	0	0	0	0	0	0	0	0
EPM2A	19	2	0	0	19	2	7	10.4403065089106
EPM2AIP1	147	28	8	8	147	28	61	75.1465235390168
EPN1	27	5	2	2	27	5	11.3333333333333	13.6503968196288
EPN2	95	16	9	9	95	16	40	47.7598157450382
EPN2-AS1	2	0	0	0	2	0	0.666666666666667	1.15470053837925
EPN2-IT1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EPOR	14	2	3	2	14	3	6.33333333333333	6.65832811847939
EPPIN	0	1	0	0	1	0	0.333333333333333	0.577350269189626
EPPIN-WFDC6	0	0	0	0	0	0	0	0
EPPK1	0	0	0	0	0	0	0	0
EPRS	1346	247	102	102	1346	247	565	680.240398682701
EPS15	319	63	30	30	319	63	137.333333333333	158.190813049726
EPS15L1	22	7	1	1	22	7	10	10.816653826392
EPS8	350	79	44	44	350	79	157.666666666667	167.482337377209
EPS8L1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
EPS8L2	7	2	1	1	7	2	3.33333333333333	3.21455025366432
EPSTI1	26	3	2	2	26	3	10.3333333333333	13.5769412362775
EPT1	40	9	2	2	40	9	17	20.2237484161567
EPYC	16	4	0	0	16	4	6.66666666666667	8.32666399786453
ERAL1	238	43	20	20	238	43	100.333333333333	119.776180158383
ERAP1	67	11	10	10	67	11	29.3333333333333	32.6241219549789
ERAP2	107	22	8	8	107	22	45.6666666666667	53.5754919093921
ERAS	0	0	0	0	0	0	0	0
ERBB2	54	14	5	5	54	14	24.3333333333333	26.0832002126528
ERBB2IP	334	72	32	32	334	72	146	164.036581286005
ERBB3	13	5	0	0	13	5	6	6.557438524302
ERBB4	2	1	0	0	2	1	1	1
ERC1	157	41	19	19	157	41	72.3333333333333	74.1440040281973
ERC2-IT1	0	0	0	0	0	0	0	0
ERCC1	213	44	12	12	213	44	89.6666666666667	108.001543198851
ERCC2	9	3	4	3	9	4	5.33333333333333	3.21455025366432
ERCC3	215	27	13	13	215	27	85	112.800709217629
ERCC4	232	37	10	10	232	37	93	121.132159231147
ERCC5	65	11	6	6	65	11	27.3333333333333	32.7159492195066
ERCC6	81	12	7	7	81	12	33.3333333333333	41.3561764834871
ERCC6L	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ERCC6L2	13	3	1	1	13	3	5.66666666666667	6.42910050732864
ERCC8	150	28	5	5	150	28	61	77.9294552784761
EREG	12	7	1	1	12	7	6.66666666666667	5.5075705472861
ERF	4	0	0	0	4	0	1.33333333333333	2.3094010767585
ERG	66	8	1	1	66	8	25	35.6791255498225
ERGIC1	228	84	33	33	228	84	115	101.128630960772
ERGIC2	1497	209	71	71	1497	209	592.333333333333	786.496874331572
ERGIC3	4120	645	284	284	4120	645	1683	2118.20844111244
ERH	3009	513	210	210	3009	513	1244	1536.02441386848
ERI1	39	9	2	2	39	9	16.6666666666667	19.6553639837408
ERI2	24	6	1	1	24	6	10.3333333333333	12.0968315410827
ERI3	63	14	3	3	63	14	26.6666666666667	31.9426569548204
ERICH1	180	22	8	8	180	22	70	95.5196314900764
ERICH1-AS1	0	0	0	0	0	0	0	0
ERLEC1	778	136	44	44	778	136	319.333333333333	399.871646073253
ERLIN1	142	36	9	9	142	36	62.3333333333333	70.3017306567437
ERLIN2	181	31	10	10	181	31	74	93.2577074562741
ERMAP	28	4	4	4	28	4	12	13.856406460551
ERMN	0	0	0	0	0	0	0	0
ERMP1	22	5	2	2	22	5	9.66666666666667	10.785793124909
ERN1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ERN2	3	0	0	0	3	0	1	1.73205080756888
ERO1L	97	17	6	6	97	17	40	49.6689037527506
ERO1LB	12	4	2	2	12	4	6	5.29150262212918
ERP27	0	0	0	0	0	0	0	0
ERP29	974	191	64	64	974	191	409.666666666667	492.834996051755
ERP44	524	86	32	32	524	86	214	269.82216365599
ERRFI1	105	25	23	23	105	25	51	46.776062254106
ERV3-1	153	23	8	8	153	23	61.3333333333333	79.7391580927046
ERVFRD-1	0	0	0	0	0	0	0	0
ERVK13-1	26	5	2	2	26	5	11	13.076696830622
ERVMER34-1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ERVV-1	17	4	0	0	17	4	7	8.88819441731559
ESAM	0	0	0	0	0	0	0	0
ESCO1	351	54	9	9	351	54	138	185.830567991383
ESCO2	2	1	0	0	2	1	1	1
ESD	1963	304	106	106	1963	304	791	1019.79850951058
ESF1	458	86	29	29	458	86	191	232.978539784247
ESM1	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ESPL1	0	0	0	0	0	0	0	0
ESPN	0	0	0	0	0	0	0	0
ESPNL	0	1	0	0	1	0	0.333333333333333	0.577350269189626
ESR1	4	1	1	1	4	1	2	1.73205080756888
ESR2	0	0	0	0	0	0	0	0
ESRG	19	5	2	2	19	5	8.66666666666667	9.07377172587747
ESRP1	0	0	0	0	0	0	0	0
ESRP2	0	0	0	0	0	0	0	0
ESRRA	18	5	2	2	18	5	8.33333333333333	8.50490054811538
ESRRG	0	0	0	0	0	0	0	0
ESYT1	191	48	24	24	191	48	87.6666666666667	90.2902726396002
ESYT2	145	42	23	23	145	42	70	65.6429737291052
ESYT3	1	0	0	0	1	0	0.333333333333333	0.577350269189626
ETAA1	65	14	11	11	65	14	30	30.347981810987
ETF1	320	69	24	24	320	69	137.666666666667	159.500261232806
ETFA	495	77	31	31	495	77	201	255.648195769108
ETFB	303	63	12	12	303	63	126	155.393050037638
ETFDH	145	23	12	12	145	23	60	73.8173421358423
ETHE1	83	17	12	12	83	17	37.3333333333333	39.6274315762873
ETNK1	155	32	3	3	155	32	63.3333333333333	80.6990293208867
ETNK2	8	1	0	0	8	1	3	4.35889894354067
ETS1	55	13	7	7	55	13	25	26.153393661244
ETS2	31	13	4	4	31	13	16	13.7477270848675
ETV1	6	2	0	0	6	2	2.66666666666667	3.05505046330389
ETV2	11	1	0	0	11	1	4	6.08276253029822
ETV3	25	3	5	3	25	5	11	12.1655250605964
ETV4	3	0	0	0	3	0	1	1.73205080756888
ETV5	48	11	4	4	48	11	21	23.6431808350738
ETV6	75	16	8	8	75	16	33	36.592348927064
ETV7	9	0	1	0	9	1	3.33333333333333	4.93288286231625
EVA1A	76	10	12	10	76	12	32.6666666666667	37.5410886008029
EVA1B	37	10	7	7	37	10	18	16.5227116418583
EVA1C	6	1	1	1	6	1	2.66666666666667	2.88675134594813
EVC	24	3	3	3	24	3	10	12.1243556529821
EVC2	21	4	1	1	21	4	8.66666666666667	10.785793124909
EVI2A	90	28	13	13	90	28	43.6666666666667	40.8207463593371
EVI2B	8	0	1	0	8	1	3	4.35889894354067
EVI5	771	129	38	38	771	129	312.666666666667	399.527637759058
EVI5L	10	1	0	0	10	1	3.66666666666667	5.5075705472861
EVL	24	6	4	4	24	6	11.3333333333333	11.0151410945722
EWSR1	310	53	10	10	310	53	124.333333333333	162.22309741012
EXD1	18	7	0	0	18	7	8.33333333333333	9.07377172587747
EXD2	92	15	7	7	92	15	38	46.9361268108053
EXD3	9	0	0	0	9	0	3	5.19615242270663
EXO1	0	0	0	0	0	0	0	0
EXO5	20	8	1	1	20	8	9.66666666666667	9.60902353693305
EXOC1	186	22	13	13	186	22	73.6666666666667	97.3875419821926
EXOC2	109	30	13	13	109	30	50.6666666666667	51.2282474161798
EXOC3	49	11	6	6	49	11	22	23.5159520326097
EXOC3L1	0	0	0	0	0	0	0	0
EXOC3L2	2	0	0	0	2	0	0.666666666666667	1.15470053837925
EXOC3L4	0	0	0	0	0	0	0	0
EXOC4	290	60	22	22	290	60	124	145.010344458594
EXOC5	186	35	14	14	186	35	78.3333333333333	93.8314090980911
EXOC6	86	19	6	6	86	19	37	42.9301758673314
EXOC6B	59	7	3	3	59	7	23	31.2409987036266
EXOC7	141	22	17	17	141	22	60	70.1925922017416
EXOC8	23	6	3	3	23	6	10.6666666666667	10.785793124909
EXOG	80	15	7	7	80	15	34	40.0374824383352
EXOSC1	773	92	59	59	773	92	308	403.039700277777
EXOSC10	277	51	23	23	277	51	117	139.269522868429
EXOSC2	89	16	10	10	89	16	38.3333333333333	43.9810565281615
EXOSC3	119	19	4	4	119	19	47.3333333333333	62.5166644450368
EXOSC4	63	11	1	1	63	11	25	33.2866339541865
EXOSC5	194	24	12	12	194	24	76.6666666666667	101.790634801701
EXOSC6	95	8	1	1	95	8	34.6666666666667	52.3672925912094
EXOSC7	450	60	25	25	450	60	178.333333333333	235.920184243174
EXOSC8	544	91	40	40	544	91	225	277.436479216415
EXOSC9	322	54	17	17	322	54	131	166.442182153443
EXPH5	43	14	2	2	43	14	19.6666666666667	21.0792156716832
EXT1	296	85	30	30	296	85	137	140.417235409333
EXT2	232	57	20	20	232	57	103	113.238685969063
EXTL1	0	0	0	0	0	0	0	0
EXTL2	458	80	25	25	458	80	187.666666666667	235.72512240602
EXTL3	32	16	2	2	32	16	16.6666666666667	15.0111069989303
EYA1	0	0	0	0	0	0	0	0
EYA2	0	1	0	0	1	0	0.333333333333333	0.577350269189626
EYA3	136	28	2	2	136	28	55.3333333333333	71.0586612126441
EYA4	57	11	10	10	57	11	26	26.8514431641951
EYS	3	0	0	0	3	0	1	1.73205080756888
EZH1	86	14	12	12	86	14	37.3333333333333	42.1584313433663
EZH2	19	6	0	0	19	6	8.33333333333333	9.71253485622231
EZR	353	73	19	19	353	73	148.333333333333	179.291197032463
EZR-AS1	1	0	0	0	1	0	0.333333333333333	0.577350269189626
F10	5	2	0	0	5	2	2.33333333333333	2.51661147842358
F11R	478	88	46	46	478	88	204	238.218387199645
F12	0	0	0	0	0	0	0	0
F13A1	0	0	0	0	0	0	0	0
F2R	286	64	25	25	286	64	125	140.78707327024
F2RL1	28	4	1	1	28	4	11	14.7986485869487
F2RL2	67	6	5	5	67	6	26	35.5105618091294
F2RL3	6	0	0	0	6	0	2	3.46410161513775
F3	175	39	13	13	175	39	75.6666666666667	87.0019156877211
F5	19	4	2	2	19	4	8.33333333333333	9.29157324317757
F7	0	0	0	0	0	0	0	0
F8	35	3	5	3	35	5	14.3333333333333	17.925772879665
F8A1	40	5	4	4	40	5	16.3333333333333	20.5020324195757
FAAH	0	0	0	0	0	0	0	0
FAAH2	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FABP2	0	0	0	0	0	0	0	0
FABP3	99	18	6	6	99	18	41	50.586559479767
FABP4	53	61	22	22	61	53	45.3333333333333	20.5993527406405
FABP5	396	50	25	25	396	50	157	207.357179764772
FABP5P3	0	0	0	0	0	0	0	0
FABP6	0	0	0	0	0	0	0	0
FABP7	0	0	0	0	0	0	0	0
FADD	35	7	3	3	35	7	15	17.4355957741627
FADS1	71	19	4	4	71	19	31.3333333333333	35.1615320106126
FADS2	26	5	1	1	26	5	10.6666666666667	13.4288247189891
FADS3	47	12	3	3	47	12	20.6666666666667	23.2450711621482
FADS6	14	3	0	0	14	3	5.66666666666667	7.37111479583199
FAF1	21	7	3	3	21	7	10.3333333333333	9.45163125250522
FAF2	506	91	50	50	506	91	215.666666666667	252.270357619228
FAH	55	10	3	3	55	10	22.6666666666667	28.2193786843958
FAHD1	177	24	15	15	177	24	72	91.0439454329611
FAHD2A	36	8	3	3	36	8	15.6666666666667	17.7857620959388
FAHD2B	8	0	0	0	8	0	2.66666666666667	4.61880215351701
FAHD2CP	5	1	0	0	5	1	2	2.64575131106459
FAIM	189	26	13	13	189	26	76	98.0765007532385
FAIM2	1	1	0	0	1	1	0.666666666666667	0.577350269189626
FAIM3	0	0	0	0	0	0	0	0
FAM101B	79	19	5	5	79	19	34.3333333333333	39.3107279674815
FAM102A	62	14	10	10	62	14	28.6666666666667	28.9367125522809
FAM102B	12	2	1	1	12	2	5	6.08276253029822
FAM103A1	850	139	60	60	850	139	349.666666666667	435.098073235602
FAM104A	113	17	9	9	113	17	46.3333333333333	57.8734251045619
FAM104B	471	74	26	26	471	74	190.333333333333	244.246460226824
FAM105A	2	1	0	0	2	1	1	1
FAM105B	39	16	6	6	39	16	20.3333333333333	16.9213868619961
FAM106A	9	2	1	1	9	2	4	4.35889894354067
FAM106CP	0	0	0	0	0	0	0	0
FAM107A	0	0	0	0	0	0	0	0
FAM107B	55	14	6	6	55	14	25	26.2868788561898
FAM109A	7	0	1	0	7	1	2.66666666666667	3.78593889720018
FAM109B	22	2	0	0	22	2	8	12.1655250605964
FAM110A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM110B	13	2	0	0	13	2	5	7
FAM110C	6	1	1	1	6	1	2.66666666666667	2.88675134594813
FAM110D	0	0	0	0	0	0	0	0
FAM111A	140	23	12	12	140	23	58.3333333333333	70.938940881108
FAM111B	0	0	0	0	0	0	0	0
FAM114A1	2190	375	156	156	2190	375	907	1116.49317060159
FAM114A2	242	45	23	23	242	45	103.333333333333	120.59159727499
FAM115A	802	206	78	78	802	206	362	386.38840562315
FAM115C	9	1	0	0	9	1	3.33333333333333	4.93288286231625
FAM117A	2	7	1	1	7	2	3.33333333333333	3.21455025366432
FAM117B	33	10	2	2	33	10	15	16.0934769394311
FAM118A	39	14	5	5	39	14	19.3333333333333	17.6162803489651
FAM118B	296	38	23	23	296	38	119	153.469866749144
FAM120A	173	36	15	15	173	36	74.6666666666667	85.8040403089116
FAM120AOS	129	23	9	9	129	23	53.6666666666667	65.615038926555
FAM120B	77	10	5	5	77	10	30.6666666666667	40.2036482589992
FAM120C	25	4	2	2	25	4	10.3333333333333	12.7410099024109
FAM122A	30	3	6	3	30	6	13	14.7986485869487
FAM122B	24	3	4	3	24	4	10.3333333333333	11.8462370959446
FAM122C	46	10	5	5	46	10	20.3333333333333	22.3681320930768
FAM124A	8	2	0	0	8	2	3.33333333333333	4.16333199893227
FAM124B	0	0	0	0	0	0	0	0
FAM126A	291	68	19	19	291	68	126	144.979308868542
FAM126B	72	20	7	7	72	20	33	34.3947670438397
FAM127A	768	136	43	43	768	136	315.666666666667	394.482361244877
FAM127B	167	35	8	8	167	35	70	85.0823130856231
FAM127C	60	16	4	4	60	16	26.6666666666667	29.484459183328
FAM129A	797	181	79	79	797	181	352.333333333333	388.455059605784
FAM129B	40	10	5	5	40	10	18.3333333333333	18.9296944860009
FAM129C	1	0	1	0	1	1	0.666666666666667	0.577350269189626
FAM131A	15	4	3	3	15	4	7.33333333333333	6.65832811847939
FAM131B	0	0	0	0	0	0	0	0
FAM131C	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM132A	0	0	0	0	0	0	0	0
FAM133A	3	1	0	0	3	1	1.33333333333333	1.52752523165195
FAM133B	27	3	1	1	27	3	10.3333333333333	14.4683562761405
FAM133CP	10	4	1	1	10	4	5	4.58257569495584
FAM133DP	0	0	0	0	0	0	0	0
FAM134A	144	31	19	19	144	31	64.6666666666667	68.9661752842169
FAM134B	15	2	1	1	15	2	6	7.81024967590665
FAM134C	53	9	6	6	53	9	22.6666666666667	26.3122278291545
FAM135A	19	1	2	1	19	2	7.33333333333333	10.1159939369957
FAM136A	326	52	22	22	326	52	133.333333333333	167.527112233612
FAM138A	0	0	0	0	0	0	0	0
FAM138B	0	0	0	0	0	0	0	0
FAM138C	0	0	0	0	0	0	0	0
FAM138D	0	1	0	0	1	0	0.333333333333333	0.577350269189626
FAM138E	0	0	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0	0	0
FAM13A	98	17	5	5	98	17	40	50.586559479767
FAM13A-AS1	2	2	0	0	2	2	1.33333333333333	1.15470053837925
FAM13B	83	15	13	13	83	15	37	39.8497176903426
FAM13C	90	10	9	9	90	10	36.3333333333333	46.4793861118382
FAM149A	7	0	1	0	7	1	2.66666666666667	3.78593889720018
FAM149B1	47	10	4	4	47	10	20.3333333333333	23.2880512996114
FAM150A	0	0	0	0	0	0	0	0
FAM150B	2	0	0	0	2	0	0.666666666666667	1.15470053837925
FAM151B	31	8	1	1	31	8	13.3333333333333	15.6950098226581
FAM153C	30	8	3	3	30	8	13.6666666666667	14.3643076176102
FAM154A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM154B	4	0	0	0	4	0	1.33333333333333	2.3094010767585
FAM155A	0	0	0	0	0	0	0	0
FAM156A	0	0	0	0	0	0	0	0
FAM159A	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM159B	0	0	0	0	0	0	0	0
FAM160A2	27	3	1	1	27	3	10.3333333333333	14.4683562761405
FAM160B1	111	42	14	14	111	42	55.6666666666667	49.9232744652565
FAM160B2	15	3	2	2	15	3	6.66666666666667	7.23417813807023
FAM161A	98	23	4	4	98	23	41.6666666666667	49.7024479611752
FAM161B	10	1	0	0	10	1	3.66666666666667	5.5075705472861
FAM162A	3171	545	181	181	3171	545	1299	1631.3834619733
FAM162B	14	1	1	1	14	1	5.33333333333333	7.50555349946513
FAM166B	0	0	0	0	0	0	0	0
FAM167A	1	2	0	0	2	1	1	1
FAM167B	1	0	0	0	1	0	0.333333333333333	0.577350269189626
FAM168A	4	1	0	0	4	1	1.66666666666667	2.08166599946613
FAM168B	170	42	18	18	170	42	76.6666666666667	81.7149517122377
FAM169A	4	3	0	0	4	3	2.33333333333333	2.08166599946613
FAM169B	0	0	0	0	0	0	0	0
FAM171A1	76	15	12	12	76	15	34.3333333333333	36.1155552820849
FAM171A2	0	0	0	0	0	0	0	0
FAM171B	12	1	3	1	12	3	5.33333333333333	5.85946527708232
FAM172A	269	41	23	23	269	41	111	137.127677731376
FAM172BP	4	1	2	1	4	2	2.33333333333333	1.52752523165195
FAM173A	5	4	3	3	5	4	4	1
FAM173B	83	19	8	8	83	19	36.6666666666667	40.5010287935175
FAM174A	85	19	9	9	85	19	37.6666666666667	41.2956817758629
FAM174B	1	0	1	0	1	1	0.666666666666667	0.577350269189626
